"gene_id","ko_id"
"TRINITY_DN2427_c0_g3_i1.p2","K00417"
"TRINITY_DN383954_c0_g1_i1.p1","K00423"
"TRINITY_DN325307_c0_g1_i1.p1","K00428"
"TRINITY_DN112473_c0_g1_i1.p1","K00432"
"TRINITY_DN333712_c0_g1_i1.p1","K00433"
"TRINITY_DN53557_c0_g1_i1.p1","K00434"
"TRINITY_DN56187_c0_g2_i2.p1","K00453"
"TRINITY_DN94974_c0_g2_i1.p1","K00461"
"TRINITY_DN64821_c1_g2_i2.p1","K00464"
"TRINITY_DN54073_c0_g3_i3.p1","K00469"
"TRINITY_DN21047_c0_g1_i1.p1","K00471"
"TRINITY_DN164505_c0_g1_i1.p1","K00472"
"TRINITY_DN5288_c0_g1_i1.p1","K00474"
"TRINITY_DN330297_c0_g1_i1.p1","K00476"
"TRINITY_DN388809_c0_g1_i1.p1","K00477"
"TRINITY_DN73534_c0_g5_i1.p1","K00479"
"TRINITY_DN43484_c0_g2_i2.p1","K00485"
"TRINITY_DN134043_c0_g1_i1.p1","K00486"
"TRINITY_DN263816_c0_g1_i1.p1","K00496"
"TRINITY_DN141761_c0_g1_i1.p1","K00500"
"TRINITY_DN393123_c0_g1_i1.p1","K00501"
"TRINITY_DN62310_c0_g1_i1.p1","K00503"
"TRINITY_DN148483_c0_g1_i1.p1","K00505"
"TRINITY_DN2051_c1_g2_i1.p1","K00507"
"TRINITY_DN127688_c0_g1_i4.p1","K00509"
"TRINITY_DN37015_c0_g4_i1.p1","K00521"
"TRINITY_DN26433_c0_g1_i1.p1","K00522"
"TRINITY_DN149741_c0_g1_i2.p1","K00525"
"TRINITY_DN271622_c0_g1_i1.p1","K00544"
"TRINITY_DN31728_c0_g1_i4.p1","K00545"
"TRINITY_DN60108_c0_g1_i2.p1","K00547"
"TRINITY_DN2084_c0_g1_i4.p1","K00548"
"TRINITY_DN1737_c0_g1_i14.p1","K00549"
"TRINITY_DN135409_c0_g1_i1.p1","K00555"
"TRINITY_DN95506_c0_g1_i2.p1","K00557"
"TRINITY_DN43600_c0_g1_i3.p1","K00558"
"TRINITY_DN34468_c0_g1_i1.p1","K00559"
"TRINITY_DN269299_c0_g1_i1.p1","K00569"
"TRINITY_DN53838_c0_g1_i2.p1","K00573"
"TRINITY_DN9963_c0_g1_i3.p1","K00574"
"TRINITY_DN116624_c0_g2_i1.p1","K00587"
"TRINITY_DN86054_c0_g1_i1.p1","K00588"
"TRINITY_DN27004_c0_g1_i1.p1","K00592"
"TRINITY_DN46353_c0_g1_i4.p1","K00600"
"TRINITY_DN4002_c0_g2_i1.p1","K00602"
"TRINITY_DN4375_c0_g1_i3.p1","K00604"
"TRINITY_DN84226_c0_g2_i1.p1","K00605"
"TRINITY_DN445059_c0_g1_i1.p1","K00606"
"TRINITY_DN56401_c0_g1_i2.p1","K00611"
"TRINITY_DN260969_c0_g1_i1.p1","K00612"
"TRINITY_DN143534_c0_g1_i1.p1","K00613"
"TRINITY_DN631_c0_g1_i8.p1","K00615"
"TRINITY_DN154678_c0_g1_i1.p1","K00616"
"TRINITY_DN44022_c0_g1_i1.p1","K00620"
"TRINITY_DN285301_c0_g1_i1.p1","K00621"
"TRINITY_DN424475_c0_g1_i1.p1","K00625"
"TRINITY_DN323703_c0_g1_i1.p1","K00626"
"TRINITY_DN10571_c0_g1_i3.p1","K00627"
"TRINITY_DN221154_c0_g1_i1.p1","K00630"
"TRINITY_DN21953_c0_g1_i1.p1","K00635"
"TRINITY_DN119606_c0_g1_i2.p1","K00641"
"TRINITY_DN86108_c0_g1_i1.p1","K00645"
"TRINITY_DN330557_c0_g1_i3.p1","K00648"
"TRINITY_DN91643_c0_g2_i1.p1","K00650"
"TRINITY_DN202096_c0_g1_i1.p1","K00655"
"TRINITY_DN8894_c0_g4_i1.p1","K00658"
"TRINITY_DN261539_c0_g1_i1.p1","K00666"
"TRINITY_DN451351_c0_g1_i1.p1","K00670"
"TRINITY_DN15150_c0_g1_i1.p1","K00671"
"TRINITY_DN140936_c0_g1_i1.p1","K00674"
"TRINITY_DN347387_c0_g1_i1.p1","K00679"
"TRINITY_DN1678_c0_g1_i2.p1","K00688"
"TRINITY_DN97567_c0_g1_i9.p1","K00694"
"TRINITY_DN381988_c0_g1_i1.p1","K00697"
"TRINITY_DN1298_c0_g1_i2.p1","K00698"
"TRINITY_DN69549_c0_g1_i1.p1","K00699"
"TRINITY_DN496_c0_g1_i2.p1","K00700"
"TRINITY_DN86147_c1_g1_i2.p1","K00703"
"TRINITY_DN6518_c0_g1_i1.p1","K00706"
"TRINITY_DN326622_c0_g1_i1.p1","K00710"
"TRINITY_DN14252_c0_g1_i1.p1","K00721"
"TRINITY_DN68003_c0_g1_i1.p1","K00726"
"TRINITY_DN446874_c0_g1_i2.p1","K00729"
"TRINITY_DN164818_c0_g1_i1.p1","K00731"
"TRINITY_DN64112_c0_g1_i1.p1","K00734"
"TRINITY_DN138282_c0_g2_i1.p1","K00737"
"TRINITY_DN26056_c0_g2_i1.p1","K00749"
"TRINITY_DN97870_c0_g1_i2.p1","K00750"
"TRINITY_DN93603_c0_g1_i1.p1","K00753"
"TRINITY_DN456614_c0_g1_i1.p1","K00757"
"TRINITY_DN191270_c0_g1_i1.p1","K00760"
"TRINITY_DN10139_c0_g1_i2.p1","K00761"
"TRINITY_DN1504_c0_g2_i2.p1","K00764"
"TRINITY_DN2130_c0_g1_i1.p1","K00765"
"TRINITY_DN384840_c0_g1_i1.p1","K00767"
"TRINITY_DN344403_c0_g1_i1.p1","K00772"
"TRINITY_DN61802_c1_g1_i1.p1","K00773"
"TRINITY_DN55795_c0_g2_i1.p1","K00777"
"TRINITY_DN50572_c0_g1_i1.p1","K00779"
"TRINITY_DN36117_c0_g2_i2.p1","K00787"
"TRINITY_DN63757_c1_g1_i1.p1","K00789"
"TRINITY_DN328604_c0_g1_i1.p1","K00791"
"TRINITY_DN347544_c0_g1_i1.p1","K00793"
"TRINITY_DN211562_c0_g1_i1.p1","K00794"
"TRINITY_DN206521_c0_g1_i1.p1","K00797"
"TRINITY_DN314350_c0_g1_i2.p1","K00798"
"TRINITY_DN78703_c0_g1_i4.p1","K00799"
"TRINITY_DN91840_c0_g2_i1.p1","K00801"
"TRINITY_DN8453_c0_g1_i1.p1","K00803"
"TRINITY_DN391808_c0_g1_i2.p1","K00804"
"TRINITY_DN86498_c0_g2_i1.p1","K00806"
"TRINITY_DN14123_c0_g2_i1.p1","K00809"
"TRINITY_DN156177_c0_g1_i1.p1","K00810"
"TRINITY_DN204533_c0_g1_i1.p1","K00812"
"TRINITY_DN214511_c0_g1_i1.p1","K00814"
"TRINITY_DN326541_c0_g1_i1.p1","K00818"
"TRINITY_DN28963_c0_g1_i3.p1","K00819"
"TRINITY_DN448487_c0_g1_i1.p1","K00820"
"TRINITY_DN221535_c0_g1_i1.p1","K00823"
"TRINITY_DN346557_c0_g1_i1.p1","K00825"
"TRINITY_DN203897_c0_g1_i1.p1","K00826"
"TRINITY_DN77475_c0_g1_i1.p1","K00831"
"TRINITY_DN283263_c0_g1_i1.p1","K00845"
"TRINITY_DN446484_c0_g1_i2.p1","K00846"
"TRINITY_DN43232_c0_g1_i1.p1","K00847"
"TRINITY_DN72484_c0_g1_i6.p1","K00850"
"TRINITY_DN52563_c0_g1_i1.p1","K00852"
"TRINITY_DN47267_c0_g1_i3.p1","K00854"
"TRINITY_DN37065_c0_g1_i9.p1","K00855"
"TRINITY_DN79731_c0_g1_i1.p1","K00856"
"TRINITY_DN237994_c0_g1_i1.p1","K00857"
"TRINITY_DN207165_c0_g1_i1.p1","K00858"
"TRINITY_DN1593_c0_g1_i5.p1","K00860"
"TRINITY_DN238823_c0_g1_i1.p1","K00861"
"TRINITY_DN13710_c0_g2_i2.p1","K00863"
"TRINITY_DN386050_c0_g1_i1.p1","K00868"
"TRINITY_DN272099_c0_g1_i1.p1","K00872"
"TRINITY_DN50966_c0_g1_i3.p1","K00873"
"TRINITY_DN402527_c0_g1_i1.p1","K00874"
"TRINITY_DN450152_c0_g1_i1.p1","K00876"
"TRINITY_DN324850_c0_g1_i1.p1","K00878"
"TRINITY_DN66766_c0_g2_i2.p1","K00889"
"TRINITY_DN6538_c0_g1_i1.p1","K00891"
"TRINITY_DN13908_c0_g1_i2.p1","K00894"
"TRINITY_DN107381_c1_g1_i1.p1","K00895"
"TRINITY_DN121413_c0_g2_i1.p1","K00898"
"TRINITY_DN413160_c0_g1_i3.p1","K00899"
"TRINITY_DN89793_c1_g1_i1.p1","K00900"
"TRINITY_DN147499_c0_g1_i2.p1","K00901"
"TRINITY_DN62569_c0_g1_i1.p1","K00902"
"TRINITY_DN15516_c0_g1_i13.p1","K00904"
"TRINITY_DN60732_c3_g1_i1.p1","K00905"
"TRINITY_DN82395_c1_g3_i1.p1","K00907"
"TRINITY_DN103303_c0_g1_i2.p1","K00911"
"TRINITY_DN209820_c0_g1_i2.p1","K00914"
"TRINITY_DN151361_c0_g1_i1.p1","K00917"
"TRINITY_DN54608_c0_g2_i3.p1","K00919"
"TRINITY_DN76335_c0_g2_i1.p1","K00920"
"TRINITY_DN36759_c1_g1_i1.p1","K00924"
"TRINITY_DN40126_c0_g1_i2.p1","K00926"
"TRINITY_DN3596_c0_g1_i1.p1","K00927"
"TRINITY_DN30175_c0_g2_i1.p1","K00928"
"TRINITY_DN102584_c0_g1_i1.p1","K00930"
"TRINITY_DN40917_c0_g1_i1.p1","K00931"
"TRINITY_DN107183_c0_g2_i1.p1","K00933"
"TRINITY_DN21528_c0_g1_i3.p1","K00939"
"TRINITY_DN467303_c0_g1_i1.p1","K00940"
"TRINITY_DN128983_c0_g1_i1.p1","K00941"
"TRINITY_DN55115_c0_g1_i2.p1","K00942"
"TRINITY_DN51645_c0_g1_i1.p1","K00943"
"TRINITY_DN135032_c0_g1_i3.p1","K00944"
"TRINITY_DN291325_c0_g1_i1.p1","K00948"
"TRINITY_DN77440_c0_g1_i4.p1","K00949"
"TRINITY_DN60569_c0_g1_i1.p1","K00951"
"TRINITY_DN119285_c0_g2_i1.p1","K00953"
"TRINITY_DN66354_c1_g1_i1.p1","K00958"
"TRINITY_DN75636_c0_g2_i4.p1","K00962"
"TRINITY_DN103657_c0_g1_i1.p1","K00963"
"TRINITY_DN158279_c0_g1_i1.p1","K00965"
"TRINITY_DN359715_c0_g1_i1.p1","K00967"
"TRINITY_DN33284_c0_g2_i1.p1","K00971"
"TRINITY_DN203203_c0_g1_i1.p1","K00972"
"TRINITY_DN403456_c0_g1_i1.p1","K00974"
"TRINITY_DN54507_c0_g1_i1.p1","K00981"
"TRINITY_DN288218_c0_g1_i1.p1","K00988"
"TRINITY_DN326002_c0_g1_i1.p1","K00991"
"TRINITY_DN27463_c0_g1_i1.p1","K00993"
"TRINITY_DN110681_c0_g1_i1.p1","K01001"
"TRINITY_DN101753_c0_g1_i1.p1","K01006"
"TRINITY_DN117067_c0_g1_i2.p1","K01008"
"TRINITY_DN264873_c0_g1_i1.p1","K01011"
"TRINITY_DN93000_c0_g2_i1.p1","K01013"
"TRINITY_DN68553_c0_g1_i1.p1","K01025"
"TRINITY_DN141661_c0_g1_i1.p1","K01027"
"TRINITY_DN449795_c0_g1_i1.p1","K01044"
"TRINITY_DN18819_c0_g1_i3.p1","K01045"
"TRINITY_DN12859_c1_g1_i1.p1","K01046"
"TRINITY_DN329083_c0_g1_i1.p1","K01049"
"TRINITY_DN91589_c0_g1_i1.p1","K01050"
"TRINITY_DN37199_c0_g2_i1.p1","K01052"
"TRINITY_DN58983_c0_g1_i1.p1","K01053"
"TRINITY_DN385051_c0_g1_i1.p1","K01054"
"TRINITY_DN26683_c0_g1_i1.p1","K01055"
"TRINITY_DN393956_c0_g1_i1.p1","K01056"
"TRINITY_DN76096_c0_g1_i1.p1","K01057"
"TRINITY_DN21601_c0_g1_i1.p1","K01061"
"TRINITY_DN457707_c0_g1_i1.p1","K01062"
"TRINITY_DN336347_c0_g1_i2.p1","K01066"
"TRINITY_DN45926_c0_g1_i2.p1","K01069"
"TRINITY_DN8738_c0_g1_i2.p1","K01070"
"TRINITY_DN76076_c0_g4_i1.p1","K01074"
"TRINITY_DN52614_c0_g2_i3.p1","K01076"
"TRINITY_DN239_c0_g1_i4.p1","K01079"
"TRINITY_DN146301_c0_g1_i1.p1","K01081"
"TRINITY_DN119403_c0_g2_i1.p1","K01090"
"TRINITY_DN74928_c0_g1_i1.p1","K01092"
"TRINITY_DN37930_c0_g1_i1.p1","K01097"
"TRINITY_DN94385_c0_g1_i1.p1","K01100"
"TRINITY_DN342055_c0_g1_i1.p1","K01101"
"TRINITY_DN214335_c0_g1_i1.p1","K01102"
"TRINITY_DN462287_c0_g1_i1.p1","K01103"
"TRINITY_DN34885_c0_g2_i2.p1","K01106"
"TRINITY_DN53404_c0_g1_i1.p1","K01108"
"TRINITY_DN107402_c0_g2_i1.p1","K01110"
"TRINITY_DN43530_c0_g2_i1.p1","K01112"
"TRINITY_DN121299_c0_g1_i1.p1","K01113"
"TRINITY_DN20836_c0_g2_i1.p1","K01114"
"TRINITY_DN127521_c0_g2_i1.p1","K01115"
"TRINITY_DN134084_c0_g2_i1.p1","K01125"
"TRINITY_DN144894_c0_g1_i1.p1","K01126"
"TRINITY_DN217658_c0_g1_i1.p1","K01127"
"TRINITY_DN138283_c0_g1_i1.p1","K01128"
"TRINITY_DN404363_c0_g1_i1.p1","K01130"
"TRINITY_DN8509_c0_g1_i7.p1","K01133"
"TRINITY_DN26057_c0_g1_i2.p1","K01134"
"TRINITY_DN150807_c0_g1_i2.p1","K01135"
"TRINITY_DN83991_c0_g1_i1.p1","K01136"
"TRINITY_DN463373_c0_g1_i4.p1","K01137"
"TRINITY_DN328271_c0_g1_i1.p1","K01139"
"TRINITY_DN209071_c0_g1_i1.p1","K01142"
"TRINITY_DN146770_c0_g1_i1.p1","K01148"
"TRINITY_DN402876_c0_g1_i1.p1","K01158"
"TRINITY_DN16339_c0_g1_i1.p1","K01166"
"TRINITY_DN31416_c0_g1_i4.p1","K01174"
"TRINITY_DN78536_c0_g2_i4.p1","K01175"
"TRINITY_DN7443_c7_g1_i1.p1","K01176"
"TRINITY_DN48619_c0_g1_i1.p1","K01177"
"TRINITY_DN32074_c0_g1_i1.p1","K01178"
"TRINITY_DN4551_c0_g1_i1.p1","K01179"
"TRINITY_DN59534_c0_g1_i2.p1","K01180"
"TRINITY_DN93179_c0_g2_i2.p1","K01183"
"TRINITY_DN24528_c0_g2_i2.p1","K01186"
"TRINITY_DN73385_c0_g1_i1.p1","K01188"
"TRINITY_DN42437_c0_g1_i1.p1","K01189"
"TRINITY_DN17821_c0_g1_i2.p1","K01190"
"TRINITY_DN87544_c0_g1_i1.p1","K01191"
"TRINITY_DN127236_c0_g2_i1.p1","K01192"
"TRINITY_DN33222_c0_g2_i1.p1","K01193"
"TRINITY_DN19923_c0_g1_i1.p1","K01194"
"TRINITY_DN66982_c0_g1_i1.p1","K01195"
"TRINITY_DN60409_c0_g2_i1.p1","K01196"
"TRINITY_DN276630_c0_g1_i1.p1","K01198"
"TRINITY_DN138763_c0_g1_i1.p1","K01201"
"TRINITY_DN391634_c0_g1_i1.p1","K01202"
"TRINITY_DN203828_c0_g1_i1.p1","K01205"
"TRINITY_DN341289_c0_g1_i1.p1","K01206"
"TRINITY_DN11228_c0_g1_i1.p1","K01208"
"TRINITY_DN74539_c0_g1_i15.p1","K01210"
"TRINITY_DN39527_c0_g1_i5.p1","K01212"
"TRINITY_DN95407_c0_g2_i1.p1","K01213"
"TRINITY_DN2322_c0_g1_i2.p1","K01225"
"TRINITY_DN136940_c0_g1_i1.p1","K01227"
"TRINITY_DN110795_c1_g1_i1.p1","K01228"
"TRINITY_DN86207_c0_g1_i6.p1","K01230"
"TRINITY_DN36175_c0_g1_i1.p1","K01235"
"TRINITY_DN51302_c0_g1_i1.p1","K01251"
"TRINITY_DN86209_c0_g2_i1.p1","K01254"
"TRINITY_DN53297_c0_g2_i1.p1","K01255"
"TRINITY_DN447404_c0_g1_i1.p1","K01256"
"TRINITY_DN209404_c0_g1_i1.p1","K01258"
"TRINITY_DN5920_c1_g1_i2.p1","K01259"
"TRINITY_DN120506_c0_g1_i1.p1","K01265"
"TRINITY_DN444193_c0_g1_i1.p1","K01267"
"TRINITY_DN338626_c0_g1_i1.p1","K01270"
"TRINITY_DN204662_c0_g1_i1.p1","K01275"
"TRINITY_DN32770_c0_g2_i3.p1","K01276"
"TRINITY_DN263199_c0_g1_i1.p1","K01277"
"TRINITY_DN140077_c0_g1_i1.p1","K01278"
"TRINITY_DN59314_c0_g1_i3.p1","K01279"
"TRINITY_DN23848_c1_g1_i1.p1","K01280"
"TRINITY_DN92597_c0_g5_i2.p1","K01284"
"TRINITY_DN111356_c0_g1_i3.p1","K01285"
"TRINITY_DN35030_c0_g1_i5.p1","K01298"
"TRINITY_DN388258_c0_g1_i1.p1","K01303"
"TRINITY_DN409226_c0_g1_i1.p1","K01307"
"TRINITY_DN61595_c0_g1_i4.p1","K01309"
"TRINITY_DN45640_c0_g1_i3.p1","K01315"
"TRINITY_DN128112_c0_g1_i2.p1","K01322"
"TRINITY_DN48343_c0_g2_i1.p1","K01338"
"TRINITY_DN143107_c0_g1_i1.p1","K01354"
"TRINITY_DN276195_c0_g1_i1.p1","K01358"
"TRINITY_DN210562_c0_g1_i1.p1","K01363"
"TRINITY_DN25018_c0_g2_i6.p1","K01365"
"TRINITY_DN452321_c0_g1_i1.p1","K01366"
"TRINITY_DN390728_c0_g1_i1.p1","K01369"
"TRINITY_DN216288_c0_g1_i1.p1","K01373"
"TRINITY_DN107068_c0_g1_i1.p1","K01376"
"TRINITY_DN65422_c0_g2_i2.p1","K01378"
"TRINITY_DN2773_c0_g1_i9.p1","K01379"
"TRINITY_DN86347_c0_g1_i1.p1","K01381"
"TRINITY_DN26446_c0_g2_i3.p1","K01382"
"TRINITY_DN88459_c0_g1_i9.p1","K01404"
"TRINITY_DN67493_c1_g2_i5.p1","K01408"
"TRINITY_DN62676_c0_g1_i4.p1","K01409"
"TRINITY_DN127463_c0_g2_i2.p1","K01410"
"TRINITY_DN269926_c0_g1_i1.p1","K01411"
"TRINITY_DN453002_c0_g1_i1.p1","K01412"
"TRINITY_DN38081_c0_g1_i1.p1","K01414"
"TRINITY_DN74363_c0_g1_i2.p1","K01415"
"TRINITY_DN51460_c0_g1_i1.p1","K01425"
"TRINITY_DN260648_c0_g1_i1.p1","K01426"
"TRINITY_DN84989_c0_g1_i1.p1","K01427"
"TRINITY_DN265991_c0_g1_i1.p1","K01432"
"TRINITY_DN209299_c0_g1_i1.p1","K01435"
"TRINITY_DN392843_c0_g1_i1.p1","K01437"
"TRINITY_DN261869_c0_g1_i1.p1","K01438"
"TRINITY_DN16048_c0_g2_i2.p1","K01442"
"TRINITY_DN103011_c1_g1_i2.p1","K01443"
"TRINITY_DN277331_c0_g1_i1.p1","K01455"
"TRINITY_DN347632_c0_g1_i1.p1","K01456"
"TRINITY_DN108810_c0_g1_i3.p1","K01457"
"TRINITY_DN81830_c0_g1_i1.p1","K01462"
"TRINITY_DN117863_c0_g1_i1.p1","K01469"
"TRINITY_DN15607_c0_g2_i1.p1","K01476"
"TRINITY_DN9187_c0_g2_i1.p1","K01477"
"TRINITY_DN46282_c0_g1_i1.p1","K01480"
"TRINITY_DN3185_c0_g1_i18.p1","K01485"
"TRINITY_DN400738_c0_g1_i1.p1","K01487"
"TRINITY_DN159468_c0_g1_i1.p1","K01488"
"TRINITY_DN30464_c0_g1_i1.p1","K01490"
"TRINITY_DN331299_c0_g1_i1.p1","K01491"
"TRINITY_DN36094_c0_g3_i1.p1","K01493"
"TRINITY_DN24525_c0_g2_i1.p1","K01495"
"TRINITY_DN448998_c0_g1_i1.p1","K01507"
"TRINITY_DN64655_c0_g1_i1.p1","K01510"
"TRINITY_DN205918_c0_g1_i1.p1","K01514"
"TRINITY_DN337260_c0_g1_i1.p1","K01517"
"TRINITY_DN22596_c0_g1_i2.p1","K01519"
"TRINITY_DN22688_c0_g2_i1.p1","K01520"
"TRINITY_DN84640_c0_g3_i1.p1","K01522"
"TRINITY_DN420191_c0_g1_i1.p1","K01527"
"TRINITY_DN92199_c0_g1_i1.p1","K01529"
"TRINITY_DN104240_c0_g1_i4.p1","K01534"
"TRINITY_DN241_c0_g1_i10.p1","K01535"
"TRINITY_DN51171_c0_g1_i1.p1","K01537"
"TRINITY_DN383238_c0_g1_i1.p1","K01539"
"TRINITY_DN398892_c0_g1_i1.p1","K01551"
"TRINITY_DN82086_c0_g1_i1.p1","K01555"
"TRINITY_DN90294_c0_g1_i1.p1","K01556"
"TRINITY_DN152374_c0_g1_i1.p1","K01557"
"TRINITY_DN147533_c0_g1_i1.p1","K01561"
"TRINITY_DN331724_c0_g1_i1.p1","K01563"
"TRINITY_DN63779_c0_g2_i2.p1","K01565"
"TRINITY_DN278207_c0_g1_i1.p1","K01577"
"TRINITY_DN268870_c0_g1_i1.p1","K01580"
"TRINITY_DN54612_c0_g1_i1.p1","K01581"
"TRINITY_DN225307_c0_g1_i1.p1","K01593"
"TRINITY_DN330745_c0_g1_i1.p1","K01598"
"TRINITY_DN56399_c0_g1_i1.p1","K01599"
"TRINITY_DN39608_c0_g1_i2.p1","K01601"
"TRINITY_DN2777_c0_g1_i1.p1","K01602"
"TRINITY_DN60838_c1_g3_i1.p1","K01607"
"TRINITY_DN5874_c0_g1_i1.p1","K01610"
"TRINITY_DN26487_c0_g1_i1.p1","K01611"
"TRINITY_DN446614_c0_g1_i1.p1","K01613"
"TRINITY_DN58513_c0_g3_i1.p1","K01619"
"TRINITY_DN134172_c0_g2_i1.p1","K01620"
"TRINITY_DN41265_c0_g1_i2.p1","K01623"
"TRINITY_DN5187_c0_g1_i3.p1","K01625"
"TRINITY_DN210322_c0_g1_i1.p1","K01626"
